ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name,1075849176::Physical Name
1075838981::145,employee first name,Column,Employee First Name,EmpFirstName
1075838981::146,employee address,Column,Employee Address,EmpAddress
1075838981::147,employee phone,Column,Employee Phone,EmpPhone
1075838981::148,store manager,Column,Store Manager,StoreManager
1075838981::149,store address,Column,Store Address,StoreAddress
1075838981::150,store phone,Column,Store Phone,StorePhone
1075838981::151,store city,Column,Store City,StoreCity
1075838981::152,store state,Column,Store State,StoreState
1075838981::153,store zip code,Column,Store Zip Code,StoreZipCode
1075838981::154,employee address 2,Column,Employee Address 2,EmpAddress2
1075838981::155,store address 2,Column,Store Address 2,StoreAddress2
1075838981::156,movie title,Column,Movie Title,MovieTitle
1075838981::157,movie director,Column,Movie Director,MovieDirector
1075838981::162,rental date,Column,Rental Date,RentalDate
1075838981::163,due date,Column,Due Date,DueDate
1075838981::164,rental status,Column,Rental Status,RentalStatus
1075838981::165,overdue charge,Column,Overdue Charge,OverdueCharge
1075838981::166,rental rate,Column,Rental Rate,RentalRate
1075838981::167,rental record date,Column,Rental Record Date,RentalRecordDate
1075838981::169,general condition,Column,General Condition,GeneralCondition
1075838981::170,movie format,Column,Movie Format,MovieFormat
1075838981::171,movie copy number,Column,Movie Copy Number,MoCoNum
1075838981::173,soc sec number,Column,Soc Sec Number,SocSecNumber
1075838981::174,hire date,Column,Hire Date,HireDate
1075838981::175,salary,Column,Salary,Salary
1075838981::176,email,Column,Email,Email
1075838981::177,employee number,Column,Employee Number,EmpNumber
1075838981::179,description,Column,Description,Description
1075838981::180,star 1 name,Column,Star 1 Name,Star1Name
1075838981::181,rating,Column,Rating,Rating
1075838981::182,star 2 name,Column,Star 2 Name,Star2Name
1075838981::183,movie number,Column,Movie Number,MovieNumber
1075838981::185,genre,Column,Genre,Genre
1075838981::186,rental rate,Column,Rental Rate,RentalRate
1075838981::187,movie url,Column,Movie Url,MovieUrl
1075838981::188,movie clip,Column,Movie Clip,MovieClip
1075838981::189,store number,Column,Store Number,StoreNumber
